PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Label
23516469,classification of time series gene expression in clinical studies via integration of biological network,"Qian L, Zheng H, Zhou H, Qin R, Li J.",PLoS One. 2013;8(3):e58383. doi: 10.1371/journal.pone.0058383. Epub 2013 Mar 13.,Qian L,PLoS One,2013,2013/03/22,PMC3596388,,10.1371/journal.pone.0058383,1
29241666,identification of human circadian genes based on time course gene expression profiles by using a deep learning method,"Cui P, Zhong T, Wang Z, Wang T, Zhao H, Liu C, Lu H.",Biochim Biophys Acta Mol Basis Dis. 2018 Jun;1864(6 Pt B):2274-2283. doi: 10.1016/j.bbadis.2017.12.004. Epub 2017 Dec 12.,Cui P,Biochim Biophys Acta Mol Basis Dis,2018,2017/12/16,,,10.1016/j.bbadis.2017.12.004,1
17597826,gene expression time course in the human skin during elicitation of allergic contact dermatitis,"Pedersen MB, Skov L, Menné T, Johansen JD, Olsen J.",J Invest Dermatol. 2007 Nov;127(11):2585-95. doi: 10.1038/sj.jid.5700902. Epub 2007 Jun 28.,Pedersen MB,J Invest Dermatol,2007,2007/06/29,,,10.1038/sj.jid.5700902,1
19811675,analysis and modeling of time-course gene-expression profiles from nanomaterial-exposed primary human epidermal keratinocytes,"Zollanvari A, Cunningham MJ, Braga-Neto U, Dougherty ER.",BMC Bioinformatics. 2009 Oct 8;10 Suppl 11(Suppl 11):S10. doi: 10.1186/1471-2105-10-S11-S10.,Zollanvari A,BMC Bioinformatics,2009,2009/10/09,PMC3226183,,10.1186/1471-2105-10-S11-S10,1
18586707,alignment and classification of time series gene expression in clinical studies,"Lin TH, Kaminski N, Bar-Joseph Z.",Bioinformatics. 2008 Jul 1;24(13):i147-55. doi: 10.1093/bioinformatics/btn152.,Lin TH,Bioinformatics,2008,2008/07/01,PMC2718630,,10.1093/bioinformatics/btn152,1
19284566,time course analysis of rna stability in human placenta,"Fajardy I, Moitrot E, Vambergue A, Vandersippe-Millot M, Deruelle P, Rousseaux J.",BMC Mol Biol. 2009 Mar 10;10:21. doi: 10.1186/1471-2199-10-21.,Fajardy I,BMC Mol Biol,2009,2009/03/17,PMC2664811,,10.1186/1471-2199-10-21,1
15618316,time course of myogenic and metabolic gene expression in response to acute exercise in human skeletal muscle,"Yang Y, Creer A, Jemiolo B, Trappe S.",J Appl Physiol (1985). 2005 May;98(5):1745-52. doi: 10.1152/japplphysiol.01185.2004. Epub 2004 Dec 23.,Yang Y,J Appl Physiol (1985),2005,2004/12/25,,,10.1152/japplphysiol.01185.2004,1
29808917,effective response metric: a novel tool to predict relapse in childhood acute lymphoblastic leukaemia using time-series gene expression profiling,"Yeoh AE, Li Z, Dong D, Lu Y, Jiang N, Trka J, Tan AM, Lin HP, Quah TC, Ariffin H, Wong L.",Br J Haematol. 2018 Jun;181(5):653-663. doi: 10.1111/bjh.15252.,Yeoh AE,Br J Haematol,2018,2018/05/30,,,10.1111/bjh.15252,1
21120746,microarray analysis of gene expression patterns in human proximal tubule cells over a short and long time course of cadmium exposure,"Garrett SH, Somji S, Sens MA, Zhang K, Sens DA.",J Toxicol Environ Health A. 2011;74(1):24-42. doi: 10.1080/15287394.2010.514230.,Garrett SH,J Toxicol Environ Health A,2011,2010/12/02,,,10.1080/15287394.2010.514230,1
19071009,profiling of zinc-altered gene expression in human prostate normal vs. cancer cells: a time course study,"Lin SF, Wei H, Maeder D, Franklin RB, Feng P.",J Nutr Biochem. 2009 Dec;20(12):1000-12. doi: 10.1016/j.jnutbio.2008.09.004. Epub 2008 Dec 13.,Lin SF,J Nutr Biochem,2009,2008/12/17,PMC2821158,NIHMS160994,10.1016/j.jnutbio.2008.09.004,1
29849033,convergent pathways in idiopathic autism revealed by time course transcriptomic analysis of patient-derived neurons,"DeRosa BA, El Hokayem J, Artimovich E, Garcia-Serje C, Phillips AW, Van Booven D, Nestor JE, Wang L, Cuccaro ML, Vance JM, Pericak-Vance MA, Cukier HN, Nestor MW, Dykxhoorn DM.",Sci Rep. 2018 May 30;8(1):8423. doi: 10.1038/s41598-018-26495-1.,DeRosa BA,Sci Rep,2018,2018/06/01,PMC5976773,,10.1038/s41598-018-26495-1,1
24573535,gene profiling and bioinformatics analyses reveal time course differential gene expression in surgically resected colorectal tissues,"Yamagishi A, Matsumoto S, Watanabe A, Mizuguchi Y, Hara K, Kan H, Yamada T, Koizumi M, Shinji S, Matsuda A, Sasaki J, Shimada T, Uchida E.",Oncol Rep. 2014 Apr;31(4):1531-8. doi: 10.3892/or.2014.3053. Epub 2014 Feb 24.,Yamagishi A,Oncol Rep,2014,2014/02/28,PMC3975991,,10.3892/or.2014.3053,1
21946166,time-series analysis of gene expression profiles induced by nitrosamides and nitrosamines elucidates modes of action underlying their genotoxicity in human colon cells,"Hebels DG, Brauers KJ, van Herwijnen MH, Georgiadis PA, Kyrtopoulos SA, Kleinjans JC, de Kok TM.",Toxicol Lett. 2011 Dec 15;207(3):232-41. doi: 10.1016/j.toxlet.2011.09.012. Epub 2011 Sep 19.,Hebels DG,Toxicol Lett,2011,2011/09/28,,,10.1016/j.toxlet.2011.09.012,1
21926438,prognostic prediction through biclustering-based classification of clinical gene expression time series,"Carreiro AV, Anunciação O, Carriço JA, Madeira SC.",J Integr Bioinform. 2011 Sep 15;8(3):175. doi: 10.2390/biecoll-jib-2011-175.,Carreiro AV,J Integr Bioinform,2011,2011/09/20,,,10.2390/biecoll-jib-2011-175,1
22926914,classification of patients from time-course gene expression,"Zhang Y, Tibshirani R, Davis R.",Biostatistics. 2013 Jan;14(1):87-98. doi: 10.1093/biostatistics/kxs027. Epub 2012 Aug 27.,Zhang Y,Biostatistics,2013,2012/08/29,PMC3520502,,10.1093/biostatistics/kxs027,1
21126232,predicting patient survival from longitudinal gene expression,"Zhang Y, Tibshirani RJ, Davis RW.",Stat Appl Genet Mol Biol. 2010;9(1):Article41. doi: 10.2202/1544-6115.1617. Epub 2010 Nov 22.,Zhang Y,Stat Appl Genet Mol Biol,2010,2010/12/04,PMC3004784,,10.2202/1544-6115.1617,1
15135230,an analysis using dna microarray of the time course of gene expression during syncytialization of a human placental cell line (bewo),"Kudo Y, Boyd CA, Sargent IL, Redman CW, Lee JM, Freeman TC.",Placenta. 2004 Jul;25(6):479-88. doi: 10.1016/j.placenta.2003.12.001.,Kudo Y,Placenta,2004,2004/05/12,,,10.1016/j.placenta.2003.12.001,1
29217575,spatiotemporal gene expression trajectories reveal developmental hierarchies of the human cortex,"Nowakowski TJ, Bhaduri A, Pollen AA, Alvarado B, Mostajo-Radji MA, Di Lullo E, Haeussler M, Sandoval-Espinosa C, Liu SJ, Velmeshev D, Ounadjela JR, Shuga J, Wang X, Lim DA, West JA, Leyrat AA, Kent WJ, Kriegstein AR.",Science. 2017 Dec 8;358(6368):1318-1323. doi: 10.1126/science.aap8809.,Nowakowski TJ,Science,2017,2017/12/09,PMC5991609,NIHMS964440,10.1126/science.aap8809,1
16001974,global gene expression analysis in time series following n-acetyl l-cysteine induced epithelial differentiation of human normal and cancer cells in vitro,"Gustafsson AC, Kupershmidt I, Edlundh-Rose E, Greco G, Serafino A, Krasnowska EK, Lundeberg T, Bracci-Laudiero L, Romano MC, Parasassi T, Lundeberg J.",BMC Cancer. 2005 Jul 7;5:75. doi: 10.1186/1471-2407-5-75.,Gustafsson AC,BMC Cancer,2005,2005/07/09,PMC1182358,,10.1186/1471-2407-5-75,1
24373884,temporal specification and bilaterality of human neocortical topographic gene expression,"Pletikos M, Sousa AM, Sedmak G, Meyer KA, Zhu Y, Cheng F, Li M, Kawasawa YI, Sestan N.",Neuron. 2014 Jan 22;81(2):321-32. doi: 10.1016/j.neuron.2013.11.018. Epub 2013 Dec 26.,Pletikos M,Neuron,2014,2013/12/31,PMC3931000,NIHMS552742,10.1016/j.neuron.2013.11.018,1
32663469,single-cell rna-seq reveals cellular hierarchies and impaired developmental trajectories in pediatric ependymoma,"Gojo J, Englinger B, Jiang L, Hübner JM, Shaw ML, Hack OA, Madlener S, Kirchhofer D, Liu I, Pyrdol J, Hovestadt V, Mazzola E, Mathewson ND, Trissal M, Lötsch D, Dorfer C, Haberler C, Halfmann A, Mayr L, Peyrl A, Geyeregger R, Schwalm B, Mauermann M, Pajtler KW, Milde T, Shore ME, Geduldig JE, Pelton K, Czech T, Ashenberg O, Wucherpfennig KW, Rozenblatt-Rosen O, Alexandrescu S, Ligon KL, Pfister SM, Regev A, Slavc I, Berger W, Suvà ML, Kool M, Filbin MG.",Cancer Cell. 2020 Jul 13;38(1):44-59.e9. doi: 10.1016/j.ccell.2020.06.004.,Gojo J,Cancer Cell,2020,2020/07/15,PMC7479515,,10.1016/j.ccell.2020.06.004,1
24709698,temporal gene expression kinetics for human keratinocytes exposed to hyperthermic stress,"Echchgadda I, Roth CC, Cerna CZ, Wilmink GJ.",Cells. 2013 Apr 10;2(2):224-43. doi: 10.3390/cells2020224.,Echchgadda I,Cells,2013,2014/04/09,PMC3972685,,10.3390/cells2020224,0
33226978,cortical morphology at birth reflects spatiotemporal patterns of gene expression in the fetal human brain,"Ball G, Seidlitz J, O'Muircheartaigh J, Dimitrova R, Fenchel D, Makropoulos A, Christiaens D, Schuh A, Passerat-Palmbach J, Hutter J, Cordero-Grande L, Hughes E, Price A, Hajnal JV, Rueckert D, Robinson EC, Edwards AD.",PLoS Biol. 2020 Nov 23;18(11):e3000976. doi: 10.1371/journal.pbio.3000976. eCollection 2020 Nov.,Ball G,PLoS Biol,2020,2020/11/23,PMC7721147,,10.1371/journal.pbio.3000976,1
34111704,longitudinal assessment of pd-l1 expression and gene expression profiles in patients with head and neck cancer reveals temporal heterogeneity,"Karabajakian A, Bouaoud J, Michon L, Kamal M, Crozes C, Zrounba P, Auclair-Perossier J, Gadot N, Attignon V, Le Tourneau C, Benzerdjeb N, Fayette J, Saintigny P.",Oral Oncol. 2021 Aug;119:105368. doi: 10.1016/j.oraloncology.2021.105368. Epub 2021 Jun 7.,Karabajakian A,Oral Oncol,2021,2021/06/10,,,10.1016/j.oraloncology.2021.105368,1
30239706,single-cell rna-seq reveals dynamic transcriptome profiling in human early neural differentiation,"Shang Z, Chen D, Wang Q, Wang S, Deng Q, Wu L, Liu C, Ding X, Wang S, Zhong J, Zhang D, Cai X, Zhu S, Yang H, Liu L, Fink JL, Chen F, Liu X, Gao Z, Xu X.",Gigascience. 2018 Nov 1;7(11):giy117. doi: 10.1093/gigascience/giy117.,Shang Z,Gigascience,2018,2018/09/22,PMC6420650,,10.1093/gigascience/giy117,1
31835037,a spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,"Asp M, Giacomello S, Larsson L, Wu C, Fürth D, Qian X, Wärdell E, Custodio J, Reimegård J, Salmén F, Österholm C, Ståhl PL, Sundström E, Åkesson E, Bergmann O, Bienko M, Månsson-Broberg A, Nilsson M, Sylvén C, Lundeberg J.",Cell. 2019 Dec 12;179(7):1647-1660.e19. doi: 10.1016/j.cell.2019.11.025.,Asp M,Cell,2019,2019/12/14,,,10.1016/j.cell.2019.11.025,1
31094050,single-cell rna-seq reveals distinct dynamic behavior of sex chromosomes during early human embryogenesis,"Zhou Q, Wang T, Leng L, Zheng W, Huang J, Fang F, Yang L, Chen F, Lin G, Wang WJ, Kristiansen K.",Mol Reprod Dev. 2019 Jul;86(7):871-882. doi: 10.1002/mrd.23162. Epub 2019 May 15.,Zhou Q,Mol Reprod Dev,2019,2019/05/17,,,10.1002/mrd.23162,1
34295944,sars-cov-2 subgenomic rna kinetics in longitudinal clinical samples,"Verma R, Kim E, Martínez-Colón GJ, Jagannathan P, Rustagi A, Parsonnet J, Bonilla H, Khosla C, Holubar M, Subramanian A, Singh U, Maldonado Y, Blish CA, Andrews JR.",Open Forum Infect Dis. 2021 Jun 11;8(7):ofab310. doi: 10.1093/ofid/ofab310. eCollection 2021 Jul.,Verma R,Open Forum Infect Dis,2021,2021/07/23,PMC8291522,,10.1093/ofid/ofab310,0
11861540,prl gene expression in individual living mammotropes displays distinct functional pulses that oscillate in a noncircadian temporal pattern,"Shorte SL, Leclerc GM, Vazquez-Martinez R, Leaumont DC, Faught WJ, Frawley LS, Boockfor FR.",Endocrinology. 2002 Mar;143(3):1126-33. doi: 10.1210/endo.143.3.8682.,Shorte SL,Endocrinology,2002,2002/02/28,,,10.1210/endo.143.3.8682,1
32184383,gene expression changes associated with trajectories of psychopathology in a longitudinal cohort of children and adolescents,"Ota VK, Santoro ML, Spindola LM, Pan PM, Simabucuro A, Xavier G, Vieira-Fonseca T, Zanardo EA, Dos Santos FRC, Schäfer JL, Kulikowski LD, Galante PAF, Asprino PF, Brietzke E, Grassi-Oliveira R, Rohde LA, Miguel EC, Gadelha A, Mari JJ, Bressan RA, Salum GA, Belangero SI.",Transl Psychiatry. 2020 Mar 17;10(1):99. doi: 10.1038/s41398-020-0772-3.,Ota VK,Transl Psychiatry,2020,2020/03/19,PMC7078305,,10.1038/s41398-020-0772-3,1
22723894,rna-seq analysis reveals different dynamics of differentiation of human dermis- and adipose-derived stromal stem cells,"Jääger K, Islam S, Zajac P, Linnarsson S, Neuman T.",PLoS One. 2012;7(6):e38833. doi: 10.1371/journal.pone.0038833. Epub 2012 Jun 19.,Jääger K,PLoS One,2012,2012/06/23,PMC3378616,,10.1371/journal.pone.0038833,1
25765203,"longitudinal weight differences, gene expression and blood biomarkers in bmi-discordant identical twins","van Dongen J, Willemsen G, Heijmans BT, Neuteboom J, Kluft C, Jansen R, Penninx BW, Slagboom PE, de Geus EJ, Boomsma DI.",Int J Obes (Lond). 2015 Jun;39(6):899-909. doi: 10.1038/ijo.2015.24. Epub 2015 Mar 13.,van Dongen J,Int J Obes (Lond),2015,2015/03/14,PMC4471109,EMS61627,10.1038/ijo.2015.24,1
12646203,temporal gene expression changes during adipogenesis in human mesenchymal stem cells,"Nakamura T, Shiojima S, Hirai Y, Iwama T, Tsuruzoe N, Hirasawa A, Katsuma S, Tsujimoto G.",Biochem Biophys Res Commun. 2003 Mar 28;303(1):306-12. doi: 10.1016/s0006-291x(03)00325-5.,Nakamura T,Biochem Biophys Res Commun,2003,2003/03/21,,,10.1016/s0006-291x(03)00325-5,1
32083293,longitudinal measures of rna expression and disease activity in fshd muscle biopsies,"Wong CJ, Wang LH, Friedman SD, Shaw D, Campbell AE, Budech CB, Lewis LM, Lemmers RJFL, Statland JM, van der Maarel SM, Tawil RN, Tapscott SJ.",Hum Mol Genet. 2020 Apr 15;29(6):1030-1043. doi: 10.1093/hmg/ddaa031.,Wong CJ,Hum Mol Genet,2020,2020/02/22,PMC7158378,,10.1093/hmg/ddaa031,1
19781859,a microarray analysis of temporal gene expression profiles in thermally injured human skin,"Greco JA 3rd, Pollins AC, Boone BE, Levy SE, Nanney LB.",Burns. 2010 Mar;36(2):192-204. doi: 10.1016/j.burns.2009.06.211. Epub 2009 Sep 24.,Greco JA 3rd,Burns,2010,2009/09/29,PMC3755600,NIHMS149546,10.1016/j.burns.2009.06.211,1
28903495,"rna-seq of human neural progenitor cells exposed to lead (pb) reveals transcriptome dynamics, splicing alterations and disease risk associations","Jiang P, Hou Z, Bolin JM, Thomson JA, Stewart R.",Toxicol Sci. 2017 Sep 1;159(1):251-265. doi: 10.1093/toxsci/kfx129.,Jiang P,Toxicol Sci,2017,2017/09/15,PMC6372217,,10.1093/toxsci/kfx129,1
34330844,longitudinal analysis of human pancreatic adenocarcinoma development reveals transient gene expression signatures,"Kim J, Ekstrom T, Yang W, Donahue G, Grygoryev D, Ngo TTM, Muschler JL, Morgan T, Zaret KS.",Mol Cancer Res. 2021 Nov;19(11):1854-1867. doi: 10.1158/1541-7786.MCR-21-0483. Epub 2021 Jul 30.,Kim J,Mol Cancer Res,2021,2021/07/31,,,10.1158/1541-7786.MCR-21-0483,1
19650334,temporal and spatial distribution of pax6 gene expression in the developing human eye,"Firsova NV, Markitantova YV, Smirnova YA, Panova IG, Sukhikh GT, Zinovieva RD.",Dokl Biol Sci. 2009 May-Jun;426:264-6. doi: 10.1134/s0012496609030211.,Firsova NV,Dokl Biol Sci,2009,2009/08/05,,,10.1134/s0012496609030211,1
11953973,the modulation of matrix metalloproteinase and adam gene expression in human chondrocytes by interleukin-1 and oncostatin m: a time-course study using real-time quantitative reverse transcription-polymerase chain reaction,"Koshy PJ, Lundy CJ, Rowan AD, Porter S, Edwards DR, Hogan A, Clark IM, Cawston TE.",Arthritis Rheum. 2002 Apr;46(4):961-7. doi: 10.1002/art.10212.,Koshy PJ,Arthritis Rheum,2002,2002/04/16,,,10.1002/art.10212,0
20720479,low variability of intraindividual longitudinal leukocyte gene expression profiling cardiac allograft rejection scores,"Deng MC, Alexander G, Wolters H, Shahzad K, Cadeiras M, Hicks A, Rowe T, Klingler TM, Eisen HJ.",Transplantation. 2010 Aug 27;90(4):459-61. doi: 10.1097/TP.0b013e3181e7e536.,Deng MC,Transplantation,2010,2010/08/20,,,10.1097/TP.0b013e3181e7e536,1
26763900,reconstruction of temporal activity of micrornas from gene expression data in breast cancer cell line,"Jayavelu ND, Bar N.",BMC Genomics. 2015 Dec 18;16:1077. doi: 10.1186/s12864-015-2260-3.,Jayavelu ND,BMC Genomics,2015,2016/01/15,PMC4712512,,10.1186/s12864-015-2260-3,1
33272935,gene expression imputation and cell-type deconvolution in human brain with spatiotemporal precision and its implications for brain-related disorders,"Pei G, Wang YY, Simon LM, Dai Y, Zhao Z, Jia P.",Genome Res. 2021 Jan;31(1):146-158. doi: 10.1101/gr.265769.120. Epub 2020 Dec 3.,Pei G,Genome Res,2021,2020/12/04,PMC7849392,,10.1101/gr.265769.120,1
31604687,single-cell rna sequencing resolves spatiotemporal development of pre-thymic lymphoid progenitors and thymus organogenesis in human embryos,"Zeng Y, Liu C, Gong Y, Bai Z, Hou S, He J, Bian Z, Li Z, Ni Y, Yan J, Huang T, Shi H, Ma C, Chen X, Wang J, Bian L, Lan Y, Liu B, Hu H.",Immunity. 2019 Nov 19;51(5):930-948.e6. doi: 10.1016/j.immuni.2019.09.008. Epub 2019 Oct 8.,Zeng Y,Immunity,2019,2019/10/13,,,10.1016/j.immuni.2019.09.008,1
28985528,chromatin and single-cell rna-seq profiling reveal dynamic signaling and metabolic transitions during human spermatogonial stem cell development,"Guo J, Grow EJ, Yi C, Mlcochova H, Maher GJ, Lindskog C, Murphy PJ, Wike CL, Carrell DT, Goriely A, Hotaling JM, Cairns BR.",Cell Stem Cell. 2017 Oct 5;21(4):533-546.e6. doi: 10.1016/j.stem.2017.09.003.,Guo J,Cell Stem Cell,2017,2017/10/07,PMC5832720,,10.1016/j.stem.2017.09.003,1
25104956,identification of biomarkers for tuberculosis susceptibility via integrated analysis of gene expression and longitudinal clinical data,"Luo Q, Mehra S, Golden NA, Kaushal D, Lacey MR.",Front Genet. 2014 Jul 24;5:240. doi: 10.3389/fgene.2014.00240. eCollection 2014.,Luo Q,Front Genet,2014,2014/08/09,PMC4109430,,10.3389/fgene.2014.00240,1
10685547,temporal analysis of connexin43 protein and gene expression throughout the menstrual cycle in human endometrium,"Granot I, Dekel N, Bechor E, Segal I, Fieldust S, Barash A.",Fertil Steril. 2000 Feb;73(2):381-6. doi: 10.1016/s0015-0282(99)00531-2.,Granot I,Fertil Steril,2000,2000/02/24,,,10.1016/s0015-0282(99)00531-2,0
18973173,temporal changes in gene expression induced by sulforaphane in human prostate cancer cells,"Bhamre S, Sahoo D, Tibshirani R, Dill DL, Brooks JD.",Prostate. 2009 Feb 1;69(2):181-90. doi: 10.1002/pros.20869.,Bhamre S,Prostate,2009,2008/11/01,PMC2612096,NIHMS75465,10.1002/pros.20869,1
11297689,late temporal gene expression from the human cytomegalovirus pp28us (ul99) promoter when integrated into the host cell chromosome,"Wu J, O'Neill J, Barbosa MS.",J Gen Virol. 2001 May;82(Pt 5):1147-1155. doi: 10.1099/0022-1317-82-5-1147.,Wu J,J Gen Virol,2001,2001/04/12,,,10.1099/0022-1317-82-5-1147,0
26573706,association of cross-sectional and longitudinal change in arterial stiffness with gene expression in the twins uk cohort,"Cecelja M, Jiang B, Mangino M, Spector TD, Chowienczyk PJ.",Hypertension. 2016 Jan;67(1):70-6. doi: 10.1161/HYPERTENSIONAHA.115.05802. Epub 2015 Nov 16.,Cecelja M,Hypertension,2016,2015/11/18,,,10.1161/HYPERTENSIONAHA.115.05802,1
26631617,gene expression variance in hippocampal tissue of temporal lobe epilepsy patients corresponds to differential memory performance,"Bungenberg J, Surano N, Grote A, Surges R, Pernhorst K, Hofmann A, Schoch S, Helmstaedter C, Becker AJ.",Neurobiol Dis. 2016 Feb;86:121-30. doi: 10.1016/j.nbd.2015.11.011. Epub 2015 Nov 26.,Bungenberg J,Neurobiol Dis,2016,2015/12/04,,,10.1016/j.nbd.2015.11.011,0
28009047,longitudinal monitoring of gene expression in ultra-low-volume blood samples self-collected at home,"Speake C, Whalen E, Gersuk VH, Chaussabel D, Odegard JM, Greenbaum CJ.",Clin Exp Immunol. 2017 May;188(2):226-233. doi: 10.1111/cei.12916. Epub 2017 Mar 2.,Speake C,Clin Exp Immunol,2017,2016/12/24,PMC5383441,,10.1111/cei.12916,1
26873097,longitudinal transcriptome analysis reveals a sustained differential gene expression signature in patients treated for acute lyme disease,"Bouquet J, Soloski MJ, Swei A, Cheadle C, Federman S, Billaud JN, Rebman AW, Kabre B, Halpert R, Boorgula M, Aucott JN, Chiu CY.",mBio. 2016 Feb 12;7(1):e00100-16. doi: 10.1128/mBio.00100-16.,Bouquet J,mBio,2016,2016/02/14,PMC4791844,,10.1128/mBio.00100-16,1
16413123,serial analysis of gene expression in the hippocampus of patients with mesial temporal lobe epilepsy,"Ozbas-Gerçeker F, Redeker S, Boer K, Ozgüç M, Saygi S, Dalkara T, Soylemezoglu F, Akalan N, Baayen JC, Gorter JA, Aronica E.",Neuroscience. 2006;138(2):457-74. doi: 10.1016/j.neuroscience.2005.11.043. Epub 2006 Jan 18.,Ozbas-Gerçeker F,Neuroscience,2006,2006/01/18,,,10.1016/j.neuroscience.2005.11.043,0
25546015,differences in human cortical gene expression match the temporal properties of large-scale functional networks,"Cioli C, Abdi H, Beaton D, Burnod Y, Mesmoudi S.",PLoS One. 2014 Dec 29;9(12):e115913. doi: 10.1371/journal.pone.0115913. eCollection 2014.,Cioli C,PLoS One,2014,2014/12/30,PMC4278769,,10.1371/journal.pone.0115913,1
25972536,different temporal effects of ebola virus vp35 and vp24 proteins on global gene expression in human dendritic cells,"Ilinykh PA, Lubaki NM, Widen SG, Renn LA, Theisen TC, Rabin RL, Wood TG, Bukreyev A.",J Virol. 2015 Aug;89(15):7567-83. doi: 10.1128/JVI.00924-15. Epub 2015 May 13.,Ilinykh PA,J Virol,2015,2015/05/15,PMC4505630,,10.1128/JVI.00924-15,0
21931541,dissecting inflammatory complications in critically injured patients by within-patient gene expression changes: a longitudinal clinical genomics study,"Desai KH, Tan CS, Leek JT, Maier RV, Tompkins RG, Storey JD; Inflammation and the Host Response to Injury Large-Scale Collaborative Research Program.",PLoS Med. 2011 Sep;8(9):e1001093. doi: 10.1371/journal.pmed.1001093. Epub 2011 Sep 13.,Desai KH,PLoS Med,2011,2011/09/21,PMC3172280,,10.1371/journal.pmed.1001093,1
