PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Label
28479747,elucidation of the sequential transcriptional activity in escherichia coli using time-series rna-seq data,"Wong PS, Tashiro K, Kuhara S, Aburatani S.",Bioinformation. 2017 Jan 31;13(1):25-30. doi: 10.6026/97320630013025. eCollection 2017.,Wong PS,Bioinformation,2017,2017/05/09,PMC5405090,,10.6026/97320630013025,1
12444044,spatial and temporal patterns of expression of 11beta-hydroxysteroid dehydrogenase types 1 and 2 messenger rna and glucocorticoid receptor protein in the murine placenta and uterus during late pregnancy,"Thompson A, Han VK, Yang K.",Biol Reprod. 2002 Dec;67(6):1708-18. doi: 10.1095/biolreprod.102.005488.,Thompson A,Biol Reprod,2002,2002/11/22,,,10.1095/biolreprod.102.005488,0
29246860,dynamic patterns of gene expression during leaf initiation,"Yu T, Guan C, Wang J, Sajjad M, Ma L, Jiao Y.",J Genet Genomics. 2017 Dec 20;44(12):599-601. doi: 10.1016/j.jgg.2017.11.001. Epub 2017 Nov 13.,Yu T,J Genet Genomics,2017,2017/12/17,,,10.1016/j.jgg.2017.11.001,1
33513863,integrating lcm-based spatio-temporal transcriptomics uncovers conceptus and endometrial luminal epithelium communication that coordinates the conceptus attachment in pigs,"Wang F, Zhao S, Deng D, Wang W, Xu X, Liu X, Zhao S, Yu M.",Int J Mol Sci. 2021 Jan 27;22(3):1248. doi: 10.3390/ijms22031248.,Wang F,Int J Mol Sci,2021,2021/01/30,PMC7866100,,10.3390/ijms22031248,0
21200152,temporal changes in hox gene expression accompany endothelial cell differentiation of embryonic stem cells,"Bahrami SB, Veiseh M, Dunn AA, Boudreau NJ.",Cell Adh Migr. 2011 Mar-Apr;5(2):133-41. doi: 10.4161/cam.5.2.14373. Epub 2011 Mar 1.,Bahrami SB,Cell Adh Migr,2011,2011/01/05,PMC3084978,,10.4161/cam.5.2.14373,1
34867890,real-time messenger rna dynamics in bacillus subtilis,"Sattler L, Graumann PL.",Front Microbiol. 2021 Nov 18;12:760857. doi: 10.3389/fmicb.2021.760857. eCollection 2021.,Sattler L,Front Microbiol,2021,2021/12/06,PMC8637298,,10.3389/fmicb.2021.760857,0
33383823,insight into the bzip gene family in solanum tuberosum: genome and transcriptome analysis to understand the roles of gene diversification in spatiotemporal gene expression and function,"Herath V, Verchot J.",Int J Mol Sci. 2020 Dec 29;22(1):253. doi: 10.3390/ijms22010253.,Herath V,Int J Mol Sci,2020,2021/01/01,PMC7796262,,10.3390/ijms22010253,1
34111704,longitudinal assessment of pd-l1 expression and gene expression profiles in patients with head and neck cancer reveals temporal heterogeneity,"Karabajakian A, Bouaoud J, Michon L, Kamal M, Crozes C, Zrounba P, Auclair-Perossier J, Gadot N, Attignon V, Le Tourneau C, Benzerdjeb N, Fayette J, Saintigny P.",Oral Oncol. 2021 Aug;119:105368. doi: 10.1016/j.oraloncology.2021.105368. Epub 2021 Jun 7.,Karabajakian A,Oral Oncol,2021,2021/06/10,,,10.1016/j.oraloncology.2021.105368,1
29700227,the dynamics of gene expression in vertebrate embryogenesis at single-cell resolution,"Briggs JA, Weinreb C, Wagner DE, Megason S, Peshkin L, Kirschner MW, Klein AM.",Science. 2018 Jun 1;360(6392):eaar5780. doi: 10.1126/science.aar5780. Epub 2018 Apr 26.,Briggs JA,Science,2018,2018/04/28,PMC6038144,NIHMS967693,10.1126/science.aar5780,1
24178670,the analysis of temporal gene expression to estimate the age of forensically important blow fly pupae: results from three blind studies,"Boehme P, Spahn P, Amendt J, Zehner R.",Int J Legal Med. 2014 May;128(3):565-73. doi: 10.1007/s00414-013-0922-8. Epub 2013 Nov 1.,Boehme P,Int J Legal Med,2014,2013/11/02,,,10.1007/s00414-013-0922-8,0
26541409,spatio-temporal regulation of circular rna expression during porcine embryonic brain development,"Venø MT, Hansen TB, Venø ST, Clausen BH, Grebing M, Finsen B, Holm IE, Kjems J.",Genome Biol. 2015 Nov 5;16:245. doi: 10.1186/s13059-015-0801-3.,Venø MT,Genome Biol,2015,2015/11/07,PMC4635978,,10.1186/s13059-015-0801-3,0
21571674,regional and temporal differences in gene expression of lh(beta)t(ag) retinoblastoma tumors,"Houston SK, Pina Y, Clarke J, Koru-Sengul T, Scott WK, Nathanson L, Schefler AC, Murray TG.",Invest Ophthalmol Vis Sci. 2011 Jul 23;52(8):5359-68. doi: 10.1167/iovs.10-6321.,Houston SK,Invest Ophthalmol Vis Sci,2011,2011/05/17,PMC3176059,,10.1167/iovs.10-6321,1
20951721,overlapping spatiotemporal patterns of regulatory gene expression are required for neuronal progenitors to specify retinal ganglion cell fate,"Kiyama T, Mao CA, Cho JH, Fu X, Pan P, Mu X, Klein WH.",Vision Res. 2011 Jan 28;51(2):251-9. doi: 10.1016/j.visres.2010.10.016. Epub 2010 Oct 15.,Kiyama T,Vision Res,2011,2010/10/19,PMC3390162,NIHMS256642,10.1016/j.visres.2010.10.016,0
34109565,tipd: a probability distribution-based method for trajectory inference from single-cell rna-seq data,"Xie J, Yin Y, Wang J.",Interdiscip Sci. 2021 Dec;13(4):652-665. doi: 10.1007/s12539-021-00445-4. Epub 2021 Jun 9.,Xie J,Interdiscip Sci,2021,2021/06/10,,,10.1007/s12539-021-00445-4,1
23684767,"temporal and tissue specific gene expression patterns of the zebrafish kinesin-1 heavy chain family, kif5s, during development","Campbell PD, Marlow FL.",Gene Expr Patterns. 2013 Oct;13(7):271-9. doi: 10.1016/j.gep.2013.05.002. Epub 2013 May 15.,Campbell PD,Gene Expr Patterns,2013,2013/05/21,PMC3754906,NIHMS480494,10.1016/j.gep.2013.05.002,0
20975127,multeesum: a tool for comparative spatial and temporal gene expression data,"Meyer M, Munzner T, DePace A, Pfister H.",IEEE Trans Vis Comput Graph. 2010 Nov-Dec;16(6):908-17. doi: 10.1109/TVCG.2010.137.,Meyer M,IEEE Trans Vis Comput Graph,2010,2010/10/27,,,10.1109/TVCG.2010.137,1
31557285,scdapa: detection and visualization of dynamic alternative polyadenylation from single cell rna-seq data,"Ye C, Zhou Q, Wu X, Yu C, Ji G, Saban DR, Li QQ.",Bioinformatics. 2020 Feb 15;36(4):1262-1264. doi: 10.1093/bioinformatics/btz701.,Ye C,Bioinformatics,2020,2019/09/27,PMC8215916,,10.1093/bioinformatics/btz701,0
14643016,spatiotemporal patterns of gene expression during fetal monkey brain development,"Redmond DE Jr, Zhao JL, Randall JD, Eklund AC, Eusebi LO, Roth RH, Gullans SR, Jensen RV.",Brain Res Dev Brain Res. 2003 Dec 19;146(1-2):99-106. doi: 10.1016/j.devbrainres.2003.10.001.,Redmond DE Jr,Brain Res Dev Brain Res,2003,2003/12/04,,,10.1016/j.devbrainres.2003.10.001,1
17373794,direct revelation of multiple conformations in rna by femtosecond dynamics,"Zhao L, Xia T.",J Am Chem Soc. 2007 Apr 11;129(14):4118-9. doi: 10.1021/ja068391q. Epub 2007 Mar 21.,Zhao L,J Am Chem Soc,2007,2007/03/22,,,10.1021/ja068391q,0
17364493,gene expression profiles reveal homeostatic dynamics during interferon-beta therapy in multiple sclerosis,"Annibali V, Di Giovanni S, Cannoni S, Giugni E, Bomprezzi R, Mattei C, Elkahloun A, Coccia EM, Alfò M, Orzi F, Ristori G, Salvetti M.",Autoimmunity. 2007 Feb;40(1):16-22. doi: 10.1080/08916930601135241.,Annibali V,Autoimmunity,2007,2007/03/17,,,10.1080/08916930601135241,0
18670334,"characterization of intervertebral disc aging: longitudinal analysis of a rabbit model by magnetic resonance imaging, histology, and gene expression","Sowa G, Vadalà G, Studer R, Kompel J, Iucu C, Georgescu H, Gilbertson L, Kang J.",Spine (Phila Pa 1976). 2008 Aug 1;33(17):1821-8. doi: 10.1097/BRS.0b013e31817e2ce3.,Sowa G,Spine (Phila Pa 1976),2008,2008/08/02,,,10.1097/BRS.0b013e31817e2ce3,0
24219496,"rna polymerase structure, function, regulation, dynamics, fidelity, and roles in gene expression","Kireeva ML, Kashlev M, Burton ZF.",Chem Rev. 2013 Nov 13;113(11):8325-30. doi: 10.1021/cr400436m.,Kireeva ML,Chem Rev,2013,2013/11/14,PMC3900282,NIHMS539993,10.1021/cr400436m,0
34181549,dynamic bayesian network learning to infer sparse models from time series gene expression data,"Ajmal HBE, Madden MG.",IEEE/ACM Trans Comput Biol Bioinform. 2021 Jun 28;PP. doi: 10.1109/TCBB.2021.3092879. Online ahead of print.,Ajmal HBE,IEEE/ACM Trans Comput Biol Bioinform,2021,2021/06/28,,,10.1109/TCBB.2021.3092879,1
26655864,"the spatial and temporal transcriptomic landscapes of ginseng, panax ginseng c. a. meyer","Wang K, Jiang S, Sun C, Lin Y, Yin R, Wang Y, Zhang M.",Sci Rep. 2015 Dec 11;5:18283. doi: 10.1038/srep18283.,Wang K,Sci Rep,2015,2015/12/15,PMC4675998,,10.1038/srep18283,1
31002670,cancerinsilico: an r/bioconductor package for combining mathematical and statistical modeling to simulate time course bulk and single cell gene expression data in cancer,"Sherman TD, Kagohara LT, Cao R, Cheng R, Satriano M, Considine M, Krigsfeld G, Ranaweera R, Tang Y, Jablonski SA, Stein-O'Brien G, Gaykalova DA, Weiner LM, Chung CH, Fertig EJ.",PLoS Comput Biol. 2019 Apr 19;14(4):e1006935. doi: 10.1371/journal.pcbi.1006935. eCollection 2018 Jun.,Sherman TD,PLoS Comput Biol,2019,2019/04/20,PMC6504085,,10.1371/journal.pcbi.1006935,1
25787707,dynamic gene expression in the song system of zebra finches during the song learning period,"Olson CR, Hodges LK, Mello CV.",Dev Neurobiol. 2015 Dec;75(12):1315-38. doi: 10.1002/dneu.22286. Epub 2015 Mar 20.,Olson CR,Dev Neurobiol,2015,2015/03/20,PMC4575259,NIHMS679209,10.1002/dneu.22286,0
34159316,spike-in normalization for single-cell rna-seq reveals dynamic global transcriptional activity mediating anticancer drug response,"Wang X, Frederick J, Wang H, Hui S, Backman V, Ji Z.",NAR Genom Bioinform. 2021 Jun 17;3(2):lqab054. doi: 10.1093/nargab/lqab054. eCollection 2021 Jun.,Wang X,NAR Genom Bioinform,2021,2021/06/23,PMC8210883,,10.1093/nargab/lqab054,1
33032632,correction to: longitudinal transcriptomic characterization of viral genes in hsv-1 infected tree shrew trigeminal ganglia,"Wang E, Ye Y, Zhang K, Yang J, Gong D, Zhang J, Hong S, Zhang H, Li L, Chen G, Yang L, Liu J, Cao H, Du T, Fraser NW, Cheng L, Cao X, Zhou J.",Virol J. 2020 Oct 8;17(1):150. doi: 10.1186/s12985-020-01419-6.,Wang E,Virol J,2020,2020/10/09,PMC7545922,,10.1186/s12985-020-01419-6,1
33501914,single-cell rna-seq reveals transcriptomic heterogeneity mediated by host-pathogen dynamics in lymphoblastoid cell lines,"SoRelle ED, Dai J, Bonglack EN, Heckenberg EM, Zhou JY, Giamberardino SN, Bailey JA, Gregory SG, Chan C, Luftig MA.",Elife. 2021 Jan 27;10:e62586. doi: 10.7554/eLife.62586.,SoRelle ED,Elife,2021,2021/01/27,PMC7867410,,10.7554/eLife.62586,0
32553173,single-cell rna-seq mapping of human thymopoiesis reveals lineage specification trajectories and a commitment spectrum in t cell development,"Le J, Park JE, Ha VL, Luong A, Branciamore S, Rodin AS, Gogoshin G, Li F, Loh YE, Camacho V, Patel SB, Welner RS, Parekh C.",Immunity. 2020 Jun 16;52(6):1105-1118.e9. doi: 10.1016/j.immuni.2020.05.010.,Le J,Immunity,2020,2020/06/20,PMC7388724,NIHMS1599710,10.1016/j.immuni.2020.05.010,0
34867221,single cell scale neuronal and glial gene expression and putative cell phenotypes and networks in the nucleus tractus solitarius in an alcohol withdrawal time series,"O'Sullivan SJ, McIntosh-Clarke D, Park J, Vadigepalli R, Schwaber JS.",Front Syst Neurosci. 2021 Nov 19;15:739790. doi: 10.3389/fnsys.2021.739790. eCollection 2021.,O'Sullivan SJ,Front Syst Neurosci,2021,2021/12/06,PMC8641127,,10.3389/fnsys.2021.739790,1
22261232,temporal regulation of gene expression of the escherichia coli bacteriophage phieco32,"Pavlova O, Lavysh D, Klimuk E, Djordjevic M, Ravcheev DA, Gelfand MS, Severinov K, Akulenko N.",J Mol Biol. 2012 Feb 24;416(3):389-99. doi: 10.1016/j.jmb.2012.01.002. Epub 2012 Jan 10.,Pavlova O,J Mol Biol,2012,2012/01/21,PMC3275717,NIHMS349650,10.1016/j.jmb.2012.01.002,0
18045468,dynamic gene expression in fish muscle during recovery growth induced by a fasting-refeeding schedule,"Rescan PY, Montfort J, Rallière C, Le Cam A, Esquerré D, Hugot K.",BMC Genomics. 2007 Nov 28;8:438. doi: 10.1186/1471-2164-8-438.,Rescan PY,BMC Genomics,2007,2007/11/30,PMC2238769,,10.1186/1471-2164-8-438,0
32341392,dynamics of global gene expression and regulatory elements in growing brachypodium root system,"Ogden AJ, Wietsma TW, Winkler T, Farris Y, Myers GL, Ahkami AH.",Sci Rep. 2020 Apr 27;10(1):7071. doi: 10.1038/s41598-020-63224-z.,Ogden AJ,Sci Rep,2020,2020/04/29,PMC7184759,,10.1038/s41598-020-63224-z,0
11081512,conservation of the sequence and temporal expression of let-7 heterochronic regulatory rna,"Pasquinelli AE, Reinhart BJ, Slack F, Martindale MQ, Kuroda MI, Maller B, Hayward DC, Ball EE, Degnan B, Müller P, Spring J, Srinivasan A, Fishman M, Finnerty J, Corbo J, Levine M, Leahy P, Davidson E, Ruvkun G.",Nature. 2000 Nov 2;408(6808):86-9. doi: 10.1038/35040556.,Pasquinelli AE,Nature,2000,2000/11/18,,,10.1038/35040556,0
10757742,changes in sidechain and backbone dynamics identify determinants of specificity in rna recognition by human u1a protein,"Mittermaier A, Varani L, Muhandiram DR, Kay LE.",J Mol Biol. 2000 Apr 21;298(1):163. doi: 10.1006/jmbi.2000.3669.,Mittermaier A,J Mol Biol,2000,2000/04/11,,,10.1006/jmbi.2000.3669,0
12176734,global/temporal gene expression in diaphragm and hindlimb muscles of dystrophin-deficient (mdx) mice,"Rouger K, Le Cunff M, Steenman M, Potier MC, Gibelin N, Dechesne CA, Leger JJ.",Am J Physiol Cell Physiol. 2002 Sep;283(3):C773-84. doi: 10.1152/ajpcell.00112.2002.,Rouger K,Am J Physiol Cell Physiol,2002,2002/08/15,,,10.1152/ajpcell.00112.2002,0
34607457,charting shifts in saccharomyces cerevisiae gene expression across asynchronous time trajectories with diffusion maps,"Reiter T, Montpetit R, Runnebaum R, Brown CT, Montpetit B.",mBio. 2021 Oct 26;12(5):e0234521. doi: 10.1128/mBio.02345-21. Epub 2021 Oct 5.,Reiter T,mBio,2021,2021/10/05,PMC8546541,,10.1128/mBio.02345-21,1
24706895,dynamic gene expression by putative hair-cell progenitors during regeneration in the zebrafish lateral line,"Steiner AB, Kim T, Cabot V, Hudspeth AJ.",Proc Natl Acad Sci U S A. 2014 Apr 8;111(14):E1393-401. doi: 10.1073/pnas.1318692111. Epub 2014 Mar 27.,Steiner AB,Proc Natl Acad Sci U S A,2014,2014/04/08,PMC3986164,,10.1073/pnas.1318692111,0
19386091,recursive regularization for inferring gene networks from time-course gene expression profiles,"Shimamura T, Imoto S, Yamaguchi R, Fujita A, Nagasaki M, Miyano S.",BMC Syst Biol. 2009 Apr 22;3:41. doi: 10.1186/1752-0509-3-41.,Shimamura T,BMC Syst Biol,2009,2009/04/24,PMC2686685,,10.1186/1752-0509-3-41,1
31284216,visualizing transcription: key to understanding gene expression dynamics,"Brouwer I, Lenstra TL.",Curr Opin Chem Biol. 2019 Aug;51:122-129. doi: 10.1016/j.cbpa.2019.05.031. Epub 2019 Jul 5.,Brouwer I,Curr Opin Chem Biol,2019,2019/07/09,,,10.1016/j.cbpa.2019.05.031,0
25064106,in situ hybridization (both radioactive and nonradioactive) and spatiotemporal gene expression analysis,"Simmons O, Bolanis EM, Wang J, Conway SJ.",Methods Mol Biol. 2014;1194:225-44. doi: 10.1007/978-1-4939-1215-5_12.,Simmons O,Methods Mol Biol,2014,2014/07/28,,,10.1007/978-1-4939-1215-5_12,1
23239992,a hormone receptor-based transactivator bridges different binary systems to precisely control spatial-temporal gene expression in drosophila,"Kuo SY, Tu CH, Hsu YT, Wang HD, Wen RK, Lin CT, Wu CL, Huang YT, Huang GS, Lan TH, Fu TF.",PLoS One. 2012;7(12):e50855. doi: 10.1371/journal.pone.0050855. Epub 2012 Dec 11.,Kuo SY,PLoS One,2012,2012/12/15,PMC3519826,,10.1371/journal.pone.0050855,0
28019048,"temporal and spatial changes in gene expression, metabolite accumulation and phytohormone content in rice seedlings grown under drought stress conditions","Todaka D, Zhao Y, Yoshida T, Kudo M, Kidokoro S, Mizoi J, Kodaira KS, Takebayashi Y, Kojima M, Sakakibara H, Toyooka K, Sato M, Fernie AR, Shinozaki K, Yamaguchi-Shinozaki K.",Plant J. 2017 Apr;90(1):61-78. doi: 10.1111/tpj.13468. Epub 2017 Feb 11.,Todaka D,Plant J,2017,2016/12/27,,,10.1111/tpj.13468,1
34420030,treatment-emergent and trajectory-based peripheral gene expression markers of antidepressant response,"Fiori LM, Orri M, Aouabed Z, Théroux JF, Lin R, Nagy C, Frey BN, Lam RW, MacQueen GM, Milev R, Müller DJ, Parikh SV, Rotzinger S, Uher R, Foster JA, Kennedy SH, Turecki G.",Transl Psychiatry. 2021 Aug 21;11(1):439. doi: 10.1038/s41398-021-01564-8.,Fiori LM,Transl Psychiatry,2021,2021/08/22,PMC8380246,,10.1038/s41398-021-01564-8,1
30635891,methods to study long noncoding rna expression and dynamics in zebrafish using rna sequencing,"Mathew S, Sivadas A, Sehgal P, Kaushik K, Vellarikkal SK, Scaria V, Sivasubbu S.",Methods Mol Biol. 2019;1912:77-110. doi: 10.1007/978-1-4939-8982-9_4.,Mathew S,Methods Mol Biol,2019,2019/01/13,,,10.1007/978-1-4939-8982-9_4,0
30923056,a gene expression atlas of embryonic neurogenesis in drosophila reveals complex spatiotemporal regulation of lncrnas,"McCorkindale AL, Wahle P, Werner S, Jungreis I, Menzel P, Shukla CJ, Abreu RLP, Irizarry RA, Meyer IM, Kellis M, Zinzen RP.",Development. 2019 Mar 28;146(6):dev175265. doi: 10.1242/dev.175265.,McCorkindale AL,Development,2019,2019/03/30,PMC6451322,,10.1242/dev.175265,0
19571840,journal club. a biologist looks at the effect of a dynamic nuclear environment on gene expression,De S.,Nature. 2009 Jul 2;460(7251):15. doi: 10.1038/460015e.,De S,Nature,2009,2009/07/03,,,10.1038/460015e,0
23545309,"molecular cloning of a plasma membrane ca²⁺ atpase (pmca) from y-organs of the blue crab (callinectes sapidus), and determination of spatial and temporal patterns of pmca gene expression","Chen HY, Roer RD, Watson RD.",Gene. 2013 Jun 10;522(1):8-17. doi: 10.1016/j.gene.2013.03.085. Epub 2013 Mar 29.,Chen HY,Gene,2013,2013/04/03,,,10.1016/j.gene.2013.03.085,0
34190606,improved dynamic range of a rhamnose-inducible promoter for gene expression in burkholderia spp,"Hogan AM, Jeffers KR, Palacios A, Cardona ST.",Appl Environ Microbiol. 2021 Aug 26;87(18):e0064721. doi: 10.1128/AEM.00647-21. Epub 2021 Aug 26.,Hogan AM,Appl Environ Microbiol,2021,2021/06/30,PMC8388826,,10.1128/AEM.00647-21,0
25579683,a qrr noncoding rna deploys four different regulatory mechanisms to optimize quorum-sensing dynamics,"Feng L, Rutherford ST, Papenfort K, Bagert JD, van Kessel JC, Tirrell DA, Wingreen NS, Bassler BL.",Cell. 2015 Jan 15;160(1-2):228-40. doi: 10.1016/j.cell.2014.11.051. Epub 2015 Jan 8.,Feng L,Cell,2015,2015/01/13,PMC4313533,NIHMS645764,10.1016/j.cell.2014.11.051,0
19656578,systemic lipopolysaccharide (lps)-induced microglial activation results in different temporal reduction of cd200 and cd200 receptor gene expression in the brain,Masocha W.,J Neuroimmunol. 2009 Sep 29;214(1-2):78-82. doi: 10.1016/j.jneuroim.2009.06.022. Epub 2009 Aug 4.,Masocha W,J Neuroimmunol,2009,2009/08/07,,,10.1016/j.jneuroim.2009.06.022,0
17975275,an intelligent two-stage evolutionary algorithm for dynamic pathway identification from gene expression profiles,"Ho SY, Hsieh CH, Yu FC, Huang HL.",IEEE/ACM Trans Comput Biol Bioinform. 2007 Oct-Dec;4(4):648-704. doi: 10.1109/tcbb.2007.1051.,Ho SY,IEEE/ACM Trans Comput Biol Bioinform,2007,2007/11/03,,,10.1109/tcbb.2007.1051,0
31125289,spontaneous superimposed preeclampsia: chronology and expression unveiled by temporal transcriptomic analysis,"Maeda KJ, Showmaker KC, Johnson AC, Garrett MR, Sasser JM.",Physiol Genomics. 2019 Aug 1;51(8):342-355. doi: 10.1152/physiolgenomics.00020.2019. Epub 2019 May 24.,Maeda KJ,Physiol Genomics,2019,2019/05/25,PMC6732412,,10.1152/physiolgenomics.00020.2019,1
14560319,glutamate carboxypeptidase ii gene expression in the human frontal and temporal lobe in schizophrenia,"Ghose S, Weickert CS, Colvin SM, Coyle JT, Herman MM, Hyde TM, Kleinman JE.",Neuropsychopharmacology. 2004 Jan;29(1):117-25. doi: 10.1038/sj.npp.1300304.,Ghose S,Neuropsychopharmacology,2004,2003/10/16,,,10.1038/sj.npp.1300304,0
23800383,progressive morphological changes and impaired retinal function associated with temporal regulation of gene expression after retinal ischemia/reperfusion injury in mice,"Kim BJ, Braun TA, Wordinger RJ, Clark AF.",Mol Neurodegener. 2013 Jun 22;8:21. doi: 10.1186/1750-1326-8-21.,Kim BJ,Mol Neurodegener,2013,2013/06/27,PMC3695831,,10.1186/1750-1326-8-21,0
